cve,commit,prediction,label,rank
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,0.9999845,1,5
CVE-2023-50723,1157c1ecea395aac7f64cd8a6f484b1225416dc7,0.99850816,1,8
CVE-2023-50723,749f6aee1bfbcf191c3734ea0aa9eba3aa63240e,0.002294838,1,22
CVE-2023-50723,bd82be936c21b65dee367d558e3050b9b6995713,1,1,1
CVE-2023-50723,809c48bd20acba10a49b9db52c4889c36f0cba46,2.1285935e-25,0,1133
CVE-2023-50723,d57bbcc8387a43e443645d8290f1e189d9b340bb,5.0962367e-14,0,286
CVE-2023-50723,3bdcf1cc2667429ab16a2453c373ab5e96cd474e,1.7452277e-22,0,898
CVE-2023-50723,13acb5c3f111a5e63b31b9c508b818db4b4d0126,5.8189787e-28,0,1290
CVE-2023-50723,41c44e87ff0f6489ce817433155cbeaf2d7a3da3,1.4029245e-21,0,822
CVE-2023-50723,2b07031c16ce425bb64ba3262ba5575ed1227d9c,8.480788e-35,0,1485
CVE-2023-50723,28de57e265ddb8cc229efa3dd36cc5e33c4db320,3.15257e-40,0,1498
CVE-2023-50723,425c7d96bfe9d73ac5a0f3fa36ddff6debbf2641,7.587522e-14,0,272
CVE-2023-50723,9b770f82c2a9957f919cfc8fe00f2f6e6d9a6595,6.883348e-20,0,690
CVE-2023-50723,9efa051e3eabd97fc84bab25a6240ceab0966889,8.7579866e-07,0,44
CVE-2023-50723,78abd5302dfb1dce4f3f08cae22ea9d73f2820e3,1.6044183e-11,0,165
CVE-2023-50723,7fe467a89c3152ed25ec23476d77a1b4a8589f9d,2.3390746e-13,0,249
CVE-2023-50723,a8d5774dd93d10a4913aa2df7ea7f665831a7693,3.7169573e-13,0,237
CVE-2023-50723,a9746b776107ad007ad47fe21849ee7bc4f9c489,4.816172e-15,0,347
CVE-2023-50723,8ff255586f92c47e7b62c2c83fe09755de0c50b6,1.1592481e-19,0,673
CVE-2023-50723,4609a896103e728319391f5ffa8b06ff3c818041,1.8720156e-12,0,204
CVE-2023-50723,902931eb657bbcd2139c506cfb90a1e04f78fbb1,2.8837938e-19,0,645
CVE-2023-50723,e98a79782602491ee0edea2fe191ea01e296dc80,1.0193696e-22,0,909
CVE-2023-50723,8333cb74e843f04d3592243572b9eb7e717c31c7,6.0272974e-23,0,936
CVE-2023-50723,7a74ed2f6f56f501d452892a7bc0e989dcc425b9,6.870819e-17,0,468
CVE-2023-50723,d212f2db0d898a50dae05de94cead861e4251108,7.35862e-30,0,1351
CVE-2023-50723,f85e7e4396328f63e90333f21aec4f8fad5e9dd5,9.019094e-24,0,1002
CVE-2023-50723,6e31da2bfb2c89beb402aae1e64a71d2566ae0b9,2.5356319e-15,0,368
CVE-2023-50723,7e9af4ee8493b2dad86cedbd7e632e24407d4fc2,1.2888785e-38,0,1497
CVE-2023-50723,e2447fd331badde93319dccfd2296d6a71a20f58,1.4417175e-19,0,668
CVE-2023-50723,1580db2ee5020c7765c57b0ea2143fd8b9e7a883,4.5496603e-23,0,952
CVE-2023-50723,f07ae4dcd7916194731987c5e57abf4031a1a285,5.937666e-20,0,698
CVE-2023-50723,479447f7d1e4c44894988e5ab035e41b8dc51775,2.0293462e-31,0,1413
CVE-2023-50723,29c991f464b4b4986bbdf4eb705c16de1c4deb61,1.1196644e-16,0,461
CVE-2023-50723,0ac548362a014c36a1195c7219cc02aa6e24645c,3.385717e-24,0,1029
